program,university,city,country_code,pathway,level,study_area,duration_months,tuition_per_year,application_fee,initial_deposit,intakes,min_ielts,min_pte,min_oet_grade,min_german_level,max_backlogs,max_gap_years,moi_accepted,work_rights,work_rights_note,required_docs,status
Master of Information Technology,Deakin University,Melbourne,AU,DEGREE,PG,Information Technology; CRICOS 102805C,24,45800,,,3|7|11,,,,,,,,ELIGIBLE,"485 Post-Higher Ed stream, CRICOS registered",,DRAFT
Master of Data Science,Deakin University,Melbourne,AU,DEGREE,PG,Data Science; CRICOS 099225J,24,45800,,,3|7|11,,,,,,,,ELIGIBLE,"485 Post-Higher Ed stream, CRICOS registered",,DRAFT
Master of Business Analytics,Deakin University,Melbourne,AU,DEGREE,PG,Business Analytics; CRICOS 088856B,24,45800,,,3|7|11,,,,,,,,ELIGIBLE,"485 Post-Higher Ed stream, CRICOS registered",,DRAFT
Master of Professional Accounting,Deakin University,Melbourne,AU,DEGREE,PG,Professional Accounting; CRICOS 102876K,24,48000,,,3|7|11,,,,,,,,ELIGIBLE,"485 Post-Higher Ed stream, CRICOS registered",,DRAFT
Bachelor of Nursing,Deakin University,Melbourne,AU,NURSING,UG,"Nursing (NMBA approved, leads to RN registration); CRICOS 018327G",36,45800,,,3,7.0,,,,,,,ELIGIBLE,"485 Post-Higher Ed stream, CRICOS registered",ENGLISH_TEST|OTHER,DRAFT
Master of Data Science,RMIT University,Melbourne,AU,DEGREE,PG,Data Science; CRICOS 093313B,24,47040,,,2|7,6.5,58,,,,,,ELIGIBLE,"485 Post-Higher Ed stream, CRICOS registered",,DRAFT
Master of Information Technology,RMIT University,Melbourne,AU,DEGREE,PG,Information Technology; CRICOS 079795G,24,47040,,,2|7,6.5,58,,,,,,ELIGIBLE,"485 Post-Higher Ed stream, CRICOS registered",,DRAFT
Master of Business Analytics,Monash University,Melbourne,AU,DEGREE,PG,Business Analytics; course code B6022,24,,,,2,,,,,,,,UNKNOWN,,,DRAFT
Master of Information Technology,University of Technology Sydney,Sydney,AU,DEGREE,PG,Information Technology; CRICOS 084256C,24,,,,,6.5,58,,,,,,ELIGIBLE,"485 Post-Higher Ed stream, CRICOS registered",,DRAFT
Master of Data Science and Innovation,University of Technology Sydney,Sydney,AU,DEGREE,PG,Data Science; CRICOS 084268K,24,,,,,6.5,58,,,,,,ELIGIBLE,"485 Post-Higher Ed stream, CRICOS registered",,DRAFT
