program,university,city,country_code,pathway,level,study_area,duration_months,tuition_per_year,application_fee,initial_deposit,intakes,min_ielts,min_pte,min_oet_grade,min_german_level,max_backlogs,max_gap_years,moi_accepted,required_docs,status
Bachelor of Information Technology (AI and Data Science),Federation University Australia,Ballarat,AU,DEGREE,UG,Artificial Intelligence,,41400,,,,,,,,,,,,DRAFT
Bachelor of Digital Transformation (IT),Federation University Australia,Ballarat,AU,DEGREE,UG,Computer Science,,41400,,,,,,,,,,,,DRAFT
Master of Data Science,Federation University Australia,Ballarat,AU,DEGREE,PG,Data Science,,41400,,,,,,,,,,,,DRAFT
Master of Applied Cyber Security,Federation University Australia,Ballarat,AU,DEGREE,PG,Computer Science,,41400,,,,,,,,,,,,DRAFT
Bachelor of Business (Accounting),Federation University Australia,Ballarat,AU,DEGREE,UG,Accounting,,39600,,,,,,,,,,,,DRAFT
Bachelor of Business (Management),Federation University Australia,Ballarat,AU,DEGREE,UG,Management,,39600,,,,,,,,,,,,DRAFT
Master of Professional Accounting,Federation University Australia,Ballarat,AU,DEGREE,PG,Accounting,,39600,,,,,,,,,,,,DRAFT
Master of Digital Business Transformation,Federation University Australia,Ballarat,AU,DEGREE,PG,Management,,39600,,,,,,,,,,,,DRAFT
Bachelor of Engineering (Civil) (Honours),Federation University Australia,Ballarat,AU,DEGREE,UG,Engineering,,43500,,,,,,,,,,,,DRAFT
Bachelor of Engineering (Mechanical) (Honours),Federation University Australia,Ballarat,AU,DEGREE,UG,Engineering,,43500,,,,,,,,,,,,DRAFT
Master of Engineering Project Management,Federation University Australia,Ballarat,AU,DEGREE,PG,Project Management,,43500,,,,,,,,,,,,DRAFT
Bachelor of Nursing,Federation University Australia,Ballarat,AU,NURSING,UG,Nursing,,41800,,,,,,,,,,,,DRAFT
Bachelor of Education (Early Childhood & Primary),Federation University Australia,Ballarat,AU,DEGREE,UG,Early Childhood Education,,31800,,,,,,,,,,,,DRAFT
Master of Teaching (Early Childhood),Federation University Australia,Ballarat,AU,DEGREE,PG,Early Childhood Education,,33500,,,,,,,,,,,,DRAFT
Bachelor of Information Technology,Murdoch University,Perth,AU,DEGREE,UG,Computer Science,,39600,,,,,,,,,,,,DRAFT
Bachelor of Information Technology and Business,Murdoch University,Perth,AU,DEGREE,UG,Computer Science,,39600,,,,,,,,,,,,DRAFT
Bachelor of Data Analytics,Murdoch University,Perth,AU,DEGREE,UG,Data Science,,39600,,,,,,,,,,,,DRAFT
Master of Information Technology,Murdoch University,Perth,AU,DEGREE,PG,Computer Science,,39600,,,,,,,,,,,,DRAFT
Bachelor of Engineering Technology,Murdoch University,Perth,AU,DEGREE,UG,Engineering,,44040,,,,,,,,,,,,DRAFT
Bachelor of Engineering Honours,Murdoch University,Perth,AU,DEGREE,UG,Engineering,,44040,,,,,,,,,,,,DRAFT
Bachelor of Nursing,Murdoch University,Perth,AU,NURSING,UG,Nursing,,44640,,,,,,,,,,,,DRAFT
Bachelor of Business,Murdoch University,Perth,AU,DEGREE,UG,Management,,37800,,,,,,,,,,,,DRAFT
Master of Business Administration,Murdoch University,Perth,AU,DEGREE,PG,Management,,40800,,,,,,,,,,,,DRAFT
Bachelor of Education (Secondary),Murdoch University,Perth,AU,DEGREE,UG,Education,,37800,,,,,,,,,,,,DRAFT
Master of Health Care Management,Murdoch University,Perth,AU,DEGREE,PG,Public Health,,40800,,,,,,,,,,,,DRAFT
Bachelor of Accounting,Charles Sturt University,Bathurst,AU,DEGREE,UG,Accounting,,33632,,,,,,,,,,,,DRAFT
Bachelor of Nursing,Charles Sturt University,Bathurst,AU,NURSING,UG,Nursing,,36096,,,,,,,,,,,,DRAFT
Bachelor of Engineering (Honours),Charles Sturt University,Bathurst,AU,DEGREE,UG,Engineering,,39440,,,,,,,,,,,,DRAFT
Master of Professional Accounting,Charles Sturt University,Bathurst,AU,DEGREE,PG,Accounting,,36960,,,,,,,,,,,,DRAFT
Diploma of Information Technology - Advanced Networking and Cloud Engineering,TAFE Queensland,Brisbane,AU,DEGREE,VOCATIONAL,Computer Science,12,23000,,,,,,,,,,,,DRAFT
Certificate IV in Cyber Security,TAFE Queensland,Brisbane,AU,DEGREE,VOCATIONAL,Computer Science,12,18800,,,,,,,,,,,,DRAFT
