program,university,city,country_code,pathway,level,study_area,duration_months,tuition_per_year,application_fee,initial_deposit,intakes,min_ielts,min_pte,min_oet_grade,min_german_level,max_backlogs,max_gap_years,moi_accepted,work_rights,work_rights_note,required_docs,status
Supply Chain Management - Global,Conestoga College,Kitchener,CA,DEGREE,PG_DIPLOMA,Supply Chain,12,20694,,2500,1|5|9,6.5,58,,,,,,ELIGIBLE,On Conestoga's PGWP-aligned programs list,,DRAFT
Computer Applications Development (Optional Co-op),Conestoga College,Waterloo,CA,DEGREE,PG_DIPLOMA,Computing,12,19907,,2500,1|5|9,6.5,58,,,,,,ELIGIBLE,On Conestoga's PGWP-aligned programs list,,DRAFT
Data Analytics,Seneca Polytechnic,Toronto,CA,DEGREE,PG_DIPLOMA,Data Science,8,,,,1|5|9,6.5,60,,,,,,UNKNOWN,,,DRAFT
Supply Chain Management - Global Logistics,Seneca Polytechnic,Toronto,CA,DEGREE,PG_DIPLOMA,Supply Chain,8,,,,1|5|9,6.5,60,,,,,,UNKNOWN,,,DRAFT
Project Management (Postgraduate) B415,George Brown College,Toronto,CA,DEGREE,PG_DIPLOMA,Business,8,19488,,,5|9,6.5,60,,,,,,INELIGIBLE,Programme page states PGWP Eligible: No,,DRAFT
Analytics for Business Decision Making (Postgraduate) B412,George Brown College,Toronto,CA,DEGREE,PG_DIPLOMA,Data Science,8,19515,,,5,6.5,60,,,,,,INELIGIBLE,Programme page states PGWP Eligible: No,,DRAFT
Information Systems Business Analysis (Postgraduate) T405,George Brown College,Toronto,CA,DEGREE,PG_DIPLOMA,Computing,12,20215,,,1|5|9,6.5,60,,,,,,ELIGIBLE,On George Brown's PGWP-eligible list,,DRAFT
Project Management (Online),Centennial College,Toronto,CA,DEGREE,PG_DIPLOMA,Business,12,18005,,,1|5,,,,,,,,INELIGIBLE,Programme page states PGWP Aligned: No,,DRAFT
Supply Chain Management - Logistics (Co-op) SCM2,Fanshawe College,London,CA,DEGREE,PG_DIPLOMA,Supply Chain,12,19269,,,,6.5,59,,,,,,ELIGIBLE,On Fanshawe's PGWP-aligned programs list,,DRAFT
Data Analytics DAA1,Fanshawe College,London,CA,DEGREE,PG_DIPLOMA,Data Science,12,18607,,,,6.5,59,,,,,,ELIGIBLE,On Fanshawe's PGWP-aligned programs list,,DRAFT
Artificial Intelligence and Machine Learning AIM1,Fanshawe College,London,CA,DEGREE,PG_DIPLOMA,Computing,24,,,,,6.5,59,,,,,,ELIGIBLE,On Fanshawe's PGWP-aligned programs list,,DRAFT
Health Care Administration Management HCT1B,Fanshawe College,London,CA,DEGREE,PG_DIPLOMA,Health,,,,,,6.5,59,,,,,,ELIGIBLE,On Fanshawe's PGWP-aligned programs list,,DRAFT
Global Business Management,Humber Polytechnic,Toronto,CA,DEGREE,PG_DIPLOMA,Business,24,19058,,,1|5|9,,,,,,,,UNKNOWN,,,DRAFT
Supply Chain Management - Global,Algonquin College,Ottawa,CA,DEGREE,PG_DIPLOMA,Supply Chain,12,,,,1|5|9,,,,,,,,ELIGIBLE,On Algonquin's PGWP-eligible programs list,,DRAFT
Computer and Information Systems (Post-Baccalaureate Diploma),Douglas College,New Westminster,CA,DEGREE,PG_DIPLOMA,Computing,,19875,100,,1|5|9,6.5,56,,,,,,ELIGIBLE,On Douglas College's PGWP-eligible list,,DRAFT
Information and Communication Technology (Post-Degree Diploma),Douglas College,New Westminster,CA,DEGREE,PG_DIPLOMA,Computing,,19875,100,,1|5|9,6.5,56,,,,,,ELIGIBLE,On Douglas College's PGWP-eligible list,,DRAFT
Master of Applied Computing,University of Windsor,Windsor,CA,DEGREE,PG,Computing,16,,,4000,1|9,6.5,65,,,1,,,UNKNOWN,,SOP|CV|LOR,DRAFT
Master of Science in Computer Science,University of Windsor,Windsor,CA,DEGREE,PG,Computing,,,,,1|5|9,6.5,65,,,,,,UNKNOWN,,SOP|CV|LOR,DRAFT
Master of Data Science and Artificial Intelligence (MDSAI),University of Waterloo,Waterloo,CA,DEGREE,PG,Data Science,16,,,,1|5|9,7.5,,,,,,,UNKNOWN,,CV|SOP|DEGREE_MARKSHEETS|LOR,DRAFT
Electrical and Computer Engineering (MEng),Concordia University,Montreal,CA,DEGREE,PG,Engineering,,,,,1|5|9,6.5,61,,,,,TRUE,UNKNOWN,,,DRAFT
Master of Computer Science (MCompSc),Concordia University,Montreal,CA,DEGREE,PG,Computing,24,,,,1|5|9,6.5,61,,,,,TRUE,UNKNOWN,,,DRAFT
Master of Applied Computer Science (MACSc),Dalhousie University,Halifax,CA,DEGREE,PG,Computing,16,,,,1|5|9,7,,,,,,,UNKNOWN,,,DRAFT
Master of Science in Computer Science,Memorial University of Newfoundland,St. John's,CA,DEGREE,PG,Computing,24,,,,1|9,,,,,,,,UNKNOWN,,,DRAFT
Master of Data Science,Memorial University of Newfoundland,St. John's,CA,DEGREE,PG,Data Science,12,,,,9,,,,,,,,UNKNOWN,,,DRAFT
Master of Science in Computer Science,University of Saskatchewan,Saskatoon,CA,DEGREE,PG,Computing,20,12837,145,,9,7,,,,,,,UNKNOWN,,DEGREE_MARKSHEETS|CV|SOP,DRAFT
Master of Science in Computer Science,University of Regina,Regina,CA,DEGREE,PG,Computing,,,125,,1|5|9,6.5,59,,,,,,UNKNOWN,,DEGREE_MARKSHEETS|LOR|OTHER,DRAFT
