program,university,city,country_code,pathway,level,study_area,duration_months,tuition_per_year,application_fee,initial_deposit,intakes,min_ielts,min_pte,min_oet_grade,min_german_level,max_backlogs,max_gap_years,moi_accepted,work_rights,work_rights_note,required_docs,status
MSc Computer Science,Delft University of Technology,Delft,NL,DEGREE,PG,Computer Science,,25633,,,,7.0,,,,,,FALSE,ELIGIBLE,"Netherlands: orientation year, up to 12 months to live and work freely; apply within 3 years of graduating (IND)",DEGREE_CERTIFICATE|DEGREE_MARKSHEETS|ENGLISH_TEST|SOP|CV|PASSPORT,DRAFT
MSc Data Science and Artificial Intelligence Technology,Delft University of Technology,Delft,NL,DEGREE,PG,Data Science,24,25633,,,9,7.0,,,,,,FALSE,ELIGIBLE,"Netherlands: orientation year, up to 12 months to live and work freely; apply within 3 years of graduating (IND)",DEGREE_CERTIFICATE|DEGREE_MARKSHEETS|ENGLISH_TEST|SOP|CV|PASSPORT,DRAFT
MSc Data Science and Artificial Intelligence,Eindhoven University of Technology,Eindhoven,NL,DEGREE,PG,Data Science,24,21700,100,,,6.5,,,,,,,ELIGIBLE,"Netherlands: orientation year, up to 12 months to live and work freely; apply within 3 years of graduating (IND)",DEGREE_CERTIFICATE|DEGREE_MARKSHEETS|ENGLISH_TEST|CV|SOP|OTHER,DRAFT
MSc Computer Science and Engineering,Eindhoven University of Technology,Eindhoven,NL,DEGREE,PG,Computer Science,24,21700,100,,,6.5,,,,,,,ELIGIBLE,"Netherlands: orientation year, up to 12 months to live and work freely; apply within 3 years of graduating (IND)",DEGREE_CERTIFICATE|DEGREE_MARKSHEETS|ENGLISH_TEST|CV|SOP|OTHER,DRAFT
MSc Computer Science,University of Twente,Enschede,NL,DEGREE,PG,Computer Science,24,21700,,,2|9,6.5,,,,,,FALSE,ELIGIBLE,"Netherlands: orientation year, up to 12 months to live and work freely; apply within 3 years of graduating (IND)",,DRAFT
MSc Business Information Technology,University of Twente,Enschede,NL,DEGREE,PG,Business,,21700,,,2|9,6.5,,,,,,FALSE,ELIGIBLE,"Netherlands: orientation year, up to 12 months to live and work freely; apply within 3 years of graduating (IND)",,DRAFT
MSc Business Administration,University of Twente,Enschede,NL,DEGREE,PG,Business,12,18200,,,2|9,6.5,,,,,,FALSE,ELIGIBLE,"Netherlands: orientation year, up to 12 months to live and work freely; apply within 3 years of graduating (IND)",,DRAFT
MSc Computer Science,University of Amsterdam,Amsterdam,NL,DEGREE,PG,Computer Science,24,24150,,,9,,,,,,,,ELIGIBLE,"Netherlands: orientation year, up to 12 months to live and work freely; apply within 3 years of graduating (IND)",,DRAFT
MSc Business Administration,University of Amsterdam,Amsterdam,NL,DEGREE,PG,Business,12,24050,,,2|9,,,,,,,,ELIGIBLE,"Netherlands: orientation year, up to 12 months to live and work freely; apply within 3 years of graduating (IND)",,DRAFT
MSc Business Information Management,Erasmus University Rotterdam,Rotterdam,NL,DEGREE,PG,Business,12,28000,,,9,,,,,,,,ELIGIBLE,"Netherlands: orientation year, up to 12 months to live and work freely; apply within 3 years of graduating (IND)",,DRAFT
