program,university,city,country_code,pathway,level,study_area,duration_months,tuition_per_year,application_fee,initial_deposit,intakes,min_ielts,min_pte,min_oet_grade,min_german_level,max_backlogs,max_gap_years,moi_accepted,work_rights,work_rights_note,required_docs,status
Data Science M.Sc.,RWTH Aachen University,Aachen,DE,DEGREE,PG,Data Science,24,0,,,4|10,6.0,,,,,,no,ELIGIBLE,"Germany: up to 18 months to look for work after graduating, any job allowed (§ 20(1) no. 1 AufenthG)",DEGREE_CERTIFICATE|DEGREE_MARKSHEETS|ENGLISH_TEST|OTHER|APS_CERTIFICATE,DRAFT
Automotive Engineering M.Sc.,RWTH Aachen University,Aachen,DE,DEGREE,PG,Automotive Engineering,18,0,,,10,6.0,,,,,,no,ELIGIBLE,"Germany: up to 18 months to look for work after graduating, any job allowed (§ 20(1) no. 1 AufenthG)",APS_CERTIFICATE,DRAFT
Data Science M.Sc.,Hamburg University of Technology (TUHH),Hamburg,DE,DEGREE,PG,Data Science,24,0,,,10,6.5,,,,,,,ELIGIBLE,"Germany: up to 18 months to look for work after graduating, any job allowed (§ 20(1) no. 1 AufenthG)",CV|DEGREE_CERTIFICATE|DEGREE_MARKSHEETS|ENGLISH_TEST|OTHER|APS_CERTIFICATE,DRAFT
Mechatronics M.Sc.,Hamburg University of Technology (TUHH),Hamburg,DE,DEGREE,PG,Mechanical Engineering,24,0,,,10,6.5,,,,,,,ELIGIBLE,"Germany: up to 18 months to look for work after graduating, any job allowed (§ 20(1) no. 1 AufenthG)",CV|DEGREE_CERTIFICATE|DEGREE_MARKSHEETS|ENGLISH_TEST|OTHER|APS_CERTIFICATE,DRAFT
Mechanical Engineering and Management M.Sc.,Hamburg University of Technology (TUHH),Hamburg,DE,DEGREE,PG,Mechanical Engineering,24,0,,,10,6.5,,,,,,,ELIGIBLE,"Germany: up to 18 months to look for work after graduating, any job allowed (§ 20(1) no. 1 AufenthG)",CV|DEGREE_CERTIFICATE|DEGREE_MARKSHEETS|ENGLISH_TEST|OTHER|APS_CERTIFICATE,DRAFT
Computer Science M.Sc.,Hamburg University of Technology (TUHH),Hamburg,DE,DEGREE,PG,Computer Science,,0,,,4|10,6.5,,,,,,,ELIGIBLE,"Germany: up to 18 months to look for work after graduating, any job allowed (§ 20(1) no. 1 AufenthG)",CV|DEGREE_CERTIFICATE|DEGREE_MARKSHEETS|ENGLISH_TEST|OTHER|APS_CERTIFICATE,DRAFT
Automotive Software Engineering M.Sc.,TU Chemnitz,Chemnitz,DE,DEGREE,PG,Automotive Engineering,24,0,,,4|10,5.5,,,,,,,ELIGIBLE,"Germany: up to 18 months to look for work after graduating, any job allowed (§ 20(1) no. 1 AufenthG)",APS_CERTIFICATE,DRAFT
Advanced Manufacturing M.Sc.,TU Chemnitz,Chemnitz,DE,DEGREE,PG,Mechanical Engineering,24,0,50,,10,5.5,,,A1,,,,ELIGIBLE,"Germany: up to 18 months to look for work after graduating, any job allowed (§ 20(1) no. 1 AufenthG)",APS_CERTIFICATE,DRAFT
Web Engineering M.Sc.,TU Chemnitz,Chemnitz,DE,DEGREE,PG,Computer Science,24,0,,,10,,,,,,,,ELIGIBLE,"Germany: up to 18 months to look for work after graduating, any job allowed (§ 20(1) no. 1 AufenthG)",APS_CERTIFICATE,DRAFT
Computational Modeling and Simulation M.Sc.,TU Dresden,Dresden,DE,DEGREE,PG,Computer Science,,0,,,10,6.0,60,,,,,,ELIGIBLE,"Germany: up to 18 months to look for work after graduating, any job allowed (§ 20(1) no. 1 AufenthG)",APS_CERTIFICATE,DRAFT
Distributed Systems Engineering M.Sc.,TU Dresden,Dresden,DE,DEGREE,PG,Computer Science,,0,,,,,,,,,,,ELIGIBLE,"Germany: up to 18 months to look for work after graduating, any job allowed (§ 20(1) no. 1 AufenthG)",CV|SOP|DEGREE_CERTIFICATE|DEGREE_MARKSHEETS|MARKSHEET_10|OTHER|ENGLISH_TEST|APS_CERTIFICATE,DRAFT
Data and Knowledge Engineering M.Sc.,Otto von Guericke University Magdeburg,Magdeburg,DE,DEGREE,PG,Data Science,24,0,,,4|10,,,,,,,,ELIGIBLE,"Germany: up to 18 months to look for work after graduating, any job allowed (§ 20(1) no. 1 AufenthG)",APS_CERTIFICATE,DRAFT
Digital Engineering M.Sc.,Otto von Guericke University Magdeburg,Magdeburg,DE,DEGREE,PG,Computer Science,24,0,,,4|10,,,,,,,,ELIGIBLE,"Germany: up to 18 months to look for work after graduating, any job allowed (§ 20(1) no. 1 AufenthG)",APS_CERTIFICATE,DRAFT
Research in Computer & Systems Engineering M.Sc.,TU Ilmenau,Ilmenau,DE,DEGREE,PG,Computer Science,24,0,,,4|10,,,,,,,yes,ELIGIBLE,"Germany: up to 18 months to look for work after graduating, any job allowed (§ 20(1) no. 1 AufenthG)",APS_CERTIFICATE,DRAFT
