program,university,city,country_code,pathway,level,study_area,duration_months,tuition_per_year,application_fee,initial_deposit,intakes,min_ielts,min_pte,min_oet_grade,min_german_level,max_backlogs,max_gap_years,moi_accepted,work_rights,work_rights_note,required_docs,status
Pflegefachfrau/Pflegefachmann,Charite - Universitaetsmedizin Berlin,Berlin,DE,AUSBILDUNG,VOCATIONAL,Nursing,36,,,,4|10,,,,B2,,,,ELIGIBLE,"Germany: up to 18 months to look for work after a qualified Ausbildung, any job allowed (§ 20(1) no. 3 AufenthG)",GERMAN_CERTIFICATE|TRAINING_CONTRACT|OTHER,DRAFT
Operationstechnische Assistenz (OTA),Charite - Universitaetsmedizin Berlin,Berlin,DE,AUSBILDUNG,VOCATIONAL,Operating Theatre Assistance,,,,,,,,,,,,,ELIGIBLE,"Germany: up to 18 months to look for work after a qualified Ausbildung, any job allowed (§ 20(1) no. 3 AufenthG)",TRAINING_CONTRACT,DRAFT
Medizinische Fachangestellte,Charite - Universitaetsmedizin Berlin,Berlin,DE,AUSBILDUNG,VOCATIONAL,Medical Practice Assistance,,,,,,,,,,,,,ELIGIBLE,"Germany: up to 18 months to look for work after a qualified Ausbildung, any job allowed (§ 20(1) no. 3 AufenthG)",TRAINING_CONTRACT,DRAFT
Zahnmedizinische Fachangestellte,Charite - Universitaetsmedizin Berlin,Berlin,DE,AUSBILDUNG,VOCATIONAL,Dental Practice Assistance,,,,,,,,,,,,,ELIGIBLE,"Germany: up to 18 months to look for work after a qualified Ausbildung, any job allowed (§ 20(1) no. 3 AufenthG)",TRAINING_CONTRACT,DRAFT
Pflegefachfrau/Pflegefachmann,Helios Bildungszentrum Berlin,Berlin,DE,AUSBILDUNG,VOCATIONAL,Nursing,36,,,,4|10,,,,,,,,ELIGIBLE,"Germany: up to 18 months to look for work after a qualified Ausbildung, any job allowed (§ 20(1) no. 3 AufenthG)",TRAINING_CONTRACT,DRAFT
Pflegefachfrau/Pflegefachmann,AGAPLESION BILDUNGSZENTRUM fuer Pflegeberufe Rhein-Main,Frankfurt am Main,DE,AUSBILDUNG,VOCATIONAL,Nursing,36,,,,4|10,,,,,,,,ELIGIBLE,"Germany: up to 18 months to look for work after a qualified Ausbildung, any job allowed (§ 20(1) no. 3 AufenthG)",TRAINING_CONTRACT,DRAFT
Pflegefachfrau/Pflegefachmann (Teilzeitausbildung),AGAPLESION BILDUNGSZENTRUM fuer Pflegeberufe Rhein-Main,Frankfurt am Main,DE,AUSBILDUNG,VOCATIONAL,Nursing,48,,,,4,,,,,,,,ELIGIBLE,"Germany: up to 18 months to look for work after a qualified Ausbildung, any job allowed (§ 20(1) no. 3 AufenthG)",TRAINING_CONTRACT,DRAFT
Operationstechnische Assistenz (OTA),AGAPLESION MARKUS KRANKENHAUS,Frankfurt am Main,DE,AUSBILDUNG,VOCATIONAL,Operating Theatre Assistance,36,,,,8,,,,,,,,ELIGIBLE,"Germany: up to 18 months to look for work after a qualified Ausbildung, any job allowed (§ 20(1) no. 3 AufenthG)",TRAINING_CONTRACT,DRAFT
Anaesthesietechnische Assistenz (ATA),AGAPLESION MARKUS KRANKENHAUS,Frankfurt am Main,DE,AUSBILDUNG,VOCATIONAL,Anaesthesia Assistance,36,,,,8,,,,,,,,ELIGIBLE,"Germany: up to 18 months to look for work after a qualified Ausbildung, any job allowed (§ 20(1) no. 3 AufenthG)",TRAINING_CONTRACT,DRAFT
Fachinformatiker/Fachinformatikerin Systemintegration,AGAPLESION MARKUS KRANKENHAUS,Frankfurt am Main,DE,AUSBILDUNG,VOCATIONAL,Information Technology,36,,,,,,,,,,,,ELIGIBLE,"Germany: up to 18 months to look for work after a qualified Ausbildung, any job allowed (§ 20(1) no. 3 AufenthG)",TRAINING_CONTRACT,DRAFT
