program,university,city,country_code,pathway,level,study_area,duration_months,tuition_per_year,application_fee,initial_deposit,intakes,min_ielts,min_pte,min_oet_grade,min_german_level,max_backlogs,max_gap_years,moi_accepted,work_rights,work_rights_note,required_docs,status
MSc in Management,National College of Ireland,Dublin,IE,DEGREE,PG,Business and Management,12,17000,,,1|9,,,,,,,,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|DEGREE_CERTIFICATE|ENGLISH_TEST|CV|SOP,DRAFT
MSc in International Business,National College of Ireland,Dublin,IE,DEGREE,PG,Business and Management,12,17000,,,1|9,,,,,,,,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|DEGREE_CERTIFICATE|ENGLISH_TEST|CV|SOP,DRAFT
MSc in Cloud Computing,National College of Ireland,Dublin,IE,DEGREE,PG,Cloud Computing,12,17000,,,1|9,,,,,,,,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|DEGREE_CERTIFICATE|ENGLISH_TEST|CV|SOP,DRAFT
MSc in Artificial Intelligence,National College of Ireland,Dublin,IE,DEGREE,PG,Artificial Intelligence,12,17000,,,1|9,,,,,,,,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|DEGREE_CERTIFICATE|ENGLISH_TEST|CV|SOP,DRAFT
MSc in Cybersecurity,National College of Ireland,Dublin,IE,DEGREE,PG,Cybersecurity,12,17000,,,1|9,,,,,,,,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|DEGREE_CERTIFICATE|ENGLISH_TEST|CV|SOP,DRAFT
MSc in Artificial Intelligence for Business,National College of Ireland,Dublin,IE,DEGREE,PG,Artificial Intelligence,12,17000,,,1|9,,,,,,,,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|DEGREE_CERTIFICATE|ENGLISH_TEST|CV|SOP,DRAFT
MSc in Fintech,National College of Ireland,Dublin,IE,DEGREE,PG,Finance,12,17000,,,9,,,,,,,,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|DEGREE_CERTIFICATE|ENGLISH_TEST|CV|SOP,DRAFT
MSc in Data Analytics,National College of Ireland,Dublin,IE,DEGREE,PG,Data Science,,17000,,,,,,,,,,,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|DEGREE_CERTIFICATE|ENGLISH_TEST|CV|SOP,DRAFT
MSc in Finance,National College of Ireland,Dublin,IE,DEGREE,PG,Finance,,17000,,,,,,,,,,,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|DEGREE_CERTIFICATE|ENGLISH_TEST|CV|SOP,DRAFT
MSc in Accounting,National College of Ireland,Dublin,IE,DEGREE,PG,Accounting and Finance,,17000,,,,,,,,,,,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|DEGREE_CERTIFICATE|ENGLISH_TEST|CV|SOP,DRAFT
MSc in Marketing,National College of Ireland,Dublin,IE,DEGREE,PG,Marketing,,17000,,,,,,,,,,,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|DEGREE_CERTIFICATE|ENGLISH_TEST|CV|SOP,DRAFT
MA in Human Resource Management,National College of Ireland,Dublin,IE,DEGREE,PG,Human Resource Management,,17000,,,,,,,,,,,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|DEGREE_CERTIFICATE|ENGLISH_TEST|CV|SOP,DRAFT
MSc in Business Analytics for Decision Makers,National College of Ireland,Dublin,IE,DEGREE,PG,Business Analytics,,17000,,,,,,,,,,,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|DEGREE_CERTIFICATE|ENGLISH_TEST|CV|SOP,DRAFT
Higher Diploma in Science in Computing,National College of Ireland,Dublin,IE,DEGREE,PG_DIPLOMA,Computer Science,,12000,,,,,,,,,,,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|DEGREE_CERTIFICATE|ENGLISH_TEST|CV|SOP,DRAFT
Higher Diploma in Science in Data Analytics,National College of Ireland,Dublin,IE,DEGREE,PG_DIPLOMA,Data Science,,12000,,,,,,,,,,,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|DEGREE_CERTIFICATE|ENGLISH_TEST|CV|SOP,DRAFT
BSc in Computing,National College of Ireland,Dublin,IE,DEGREE,UG,Computer Science,,14000,,,,,,,,,,,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|DEGREE_CERTIFICATE|ENGLISH_TEST|CV|SOP,DRAFT
BSc in Data Science,National College of Ireland,Dublin,IE,DEGREE,UG,Data Science,,14000,,,,,,,,,,,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|DEGREE_CERTIFICATE|ENGLISH_TEST|CV|SOP,DRAFT
BA in Accounting and Finance,National College of Ireland,Dublin,IE,DEGREE,UG,Accounting and Finance,,14000,,,,,,,,,,,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|DEGREE_CERTIFICATE|ENGLISH_TEST|CV|SOP,DRAFT
BA in Business,National College of Ireland,Dublin,IE,DEGREE,UG,Business and Management,,12000,,,,,,,,,,,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|DEGREE_CERTIFICATE|ENGLISH_TEST|CV|SOP,DRAFT
MSc in Computing,CCT College Dublin,Dublin,IE,DEGREE,PG,Computer Science,,14000,,,2|9,,,,,,,,UNKNOWN,,,DRAFT
MSc in Data Analytics,CCT College Dublin,Dublin,IE,DEGREE,PG,Data Science,12,14000,,,2|9,,,,,,,,UNKNOWN,,,DRAFT
MSc in Cybersecurity,CCT College Dublin,Dublin,IE,DEGREE,PG,Cybersecurity,,14000,,,2|9,,,,,,,,UNKNOWN,,,DRAFT
MA in International Business,CCT College Dublin,Dublin,IE,DEGREE,PG,Business and Management,,12000,,,2|9,,,,,,,,UNKNOWN,,,DRAFT
