program,university,city,country_code,pathway,level,study_area,duration_months,tuition_per_year,application_fee,initial_deposit,intakes,min_ielts,min_pte,min_oet_grade,min_german_level,max_backlogs,max_gap_years,moi_accepted,work_rights,work_rights_note,required_docs,status
Graduate Diploma in Computing,Unitec Institute of Technology,Auckland,NZ,DEGREE,UG_DIPLOMA,Computing,12,27207,,,2|7,5.5,,,,,,,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|DEGREE_CERTIFICATE,DRAFT
Postgraduate Diploma of Applied Technologies-Computing,Unitec Institute of Technology,Auckland,NZ,DEGREE,PG_DIPLOMA,Computing,12,31327,,,2|7,6.5,,,,,,,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|DEGREE_CERTIFICATE,DRAFT
Master of Applied Technologies-Computing,Unitec Institute of Technology,Auckland,NZ,DEGREE,PG,Computing,18,31327,,,2|7,6.5,,,,,,,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|DEGREE_CERTIFICATE,DRAFT
Bachelor of Computing Systems,Unitec Institute of Technology,Auckland,NZ,DEGREE,UG,Computing,36,27207,,,,,,,,,,,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|DEGREE_CERTIFICATE,DRAFT
Bachelor of Construction,Unitec Institute of Technology,Auckland,NZ,DEGREE,UG,Construction,36,27207,,,,,,,,,,,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|DEGREE_CERTIFICATE,DRAFT
New Zealand Diploma in Construction,Unitec Institute of Technology,Auckland,NZ,DEGREE,UG_DIPLOMA,Construction,,27207,,,,,,,,,,,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|DEGREE_CERTIFICATE,DRAFT
Bachelor of Applied Technology (Automotive Engineering),Unitec Institute of Technology,Auckland,NZ,DEGREE,UG,Automotive Engineering,36,27207,,,,,,,,,,,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|DEGREE_CERTIFICATE,DRAFT
Bachelor of Nursing,Unitec Institute of Technology,Auckland,NZ,NURSING,UG,Nursing,36,31983,,,2|7,6.5,,C+,,,,,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|DEGREE_CERTIFICATE,DRAFT
Bachelor of Teaching (Early Childhood Education),Unitec Institute of Technology,Auckland,NZ,DEGREE,UG,Early Childhood Education,36,27207,,,,,,,,,,,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|DEGREE_CERTIFICATE,DRAFT
Master of Information Technology,Southern Institute of Technology,Invercargill,NZ,DEGREE,PG,Information Technology,18,31500,,,2|7,6.5,,,,,,,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|ENGLISH_TEST,DRAFT
Master of Applied Management,Southern Institute of Technology,Invercargill,NZ,DEGREE,PG,Management,,31500,,,,,,,,,,,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|ENGLISH_TEST,DRAFT
Master of Applied Health Sciences (Wellness and Rehabilitation),Southern Institute of Technology,Invercargill,NZ,DEGREE,PG,Health Science,,31500,,,,,,,,,,,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|ENGLISH_TEST,DRAFT
Graduate Diploma in Information Technology,Southern Institute of Technology,Invercargill,NZ,DEGREE,UG_DIPLOMA,Information Technology,12,,,,2|7,6.0,,,,,,,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|ENGLISH_TEST,DRAFT
Bachelor of Nursing,Southern Institute of Technology,Invercargill,NZ,NURSING,UG,Nursing,36,26000,,,2,6.5,,C+,,,,,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|ENGLISH_TEST,DRAFT
Bachelor of Engineering Technology,Southern Institute of Technology,Invercargill,NZ,DEGREE,UG,Engineering,,19500,,,,,,,,,,,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|ENGLISH_TEST,DRAFT
Bachelor of Information Technology,Southern Institute of Technology,Invercargill,NZ,DEGREE,UG,Information Technology,,19000,,,,,,,,,,,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|ENGLISH_TEST,DRAFT
Bachelor of Hotel Management,Southern Institute of Technology,Invercargill,NZ,DEGREE,UG,Hospitality Management,,19000,,,,,,,,,,,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|ENGLISH_TEST,DRAFT
New Zealand Diploma in Enrolled Nursing,Southern Institute of Technology,Invercargill,NZ,NURSING,UG_DIPLOMA,Nursing,,29000,,,,,,,,,,,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|ENGLISH_TEST,DRAFT
New Zealand Diploma in Engineering (Civil),Southern Institute of Technology,Invercargill,NZ,DEGREE,UG_DIPLOMA,Civil Engineering,,19500,,,,,,,,,,,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|ENGLISH_TEST,DRAFT
New Zealand Diploma in Hospitality Management,Southern Institute of Technology,Invercargill,NZ,DEGREE,UG_DIPLOMA,Hospitality Management,,19000,,,,,,,,,,,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|ENGLISH_TEST,DRAFT
Diploma in Culinary Excellence,Southern Institute of Technology,Invercargill,NZ,DEGREE,UG_DIPLOMA,Culinary Arts,,19000,,,,,,,,,,,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|ENGLISH_TEST,DRAFT
New Zealand Diploma in Veterinary Nursing (Companion Animals),Southern Institute of Technology,Invercargill,NZ,DEGREE,UG_DIPLOMA,Veterinary Nursing,,23500,,,,,,,,,,,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|ENGLISH_TEST,DRAFT
Master of Management,Toi Ohomai Institute of Technology,Rotorua,NZ,DEGREE,PG,Management,12,,,,2|7|11,6.5,,,,,,,UNKNOWN,,,DRAFT
Postgraduate Diploma in Management (Business),Toi Ohomai Institute of Technology,Rotorua,NZ,DEGREE,PG_DIPLOMA,Management,,25740,,,,,,,,,,,UNKNOWN,,,DRAFT
Bachelor of Applied Information Technology,Toi Ohomai Institute of Technology,Tauranga,NZ,DEGREE,UG,Information Technology,36,25560,,,2|7,6.0,,,,,,,UNKNOWN,,,DRAFT
Bachelor of Nursing,Toi Ohomai Institute of Technology,Rotorua,NZ,NURSING,UG,Nursing,36,30600,,,,,,,,,,,UNKNOWN,,,DRAFT
Bachelor of Teaching Early Childhood Education,Toi Ohomai Institute of Technology,Rotorua,NZ,DEGREE,UG,Early Childhood Education,36,27360,,,,,,,,,,,UNKNOWN,,,DRAFT
New Zealand Diploma in Construction (Construction Management),Toi Ohomai Institute of Technology,Rotorua,NZ,DEGREE,UG_DIPLOMA,Construction Management,,27360,,,,,,,,,,,UNKNOWN,,,DRAFT
New Zealand Diploma in Construction (Quantity Surveying),Toi Ohomai Institute of Technology,Rotorua,NZ,DEGREE,UG_DIPLOMA,Quantity Surveying,,27360,,,,,,,,,,,UNKNOWN,,,DRAFT
New Zealand Diploma in Engineering (Civil),Toi Ohomai Institute of Technology,Rotorua,NZ,DEGREE,UG_DIPLOMA,Civil Engineering,,30720,,,,,,,,,,,UNKNOWN,,,DRAFT
New Zealand Diploma in Engineering (Electrical),Toi Ohomai Institute of Technology,Rotorua,NZ,DEGREE,UG_DIPLOMA,Electrical Engineering,,30720,,,,,,,,,,,UNKNOWN,,,DRAFT
New Zealand Diploma in Engineering (Mechanical),Toi Ohomai Institute of Technology,Rotorua,NZ,DEGREE,UG_DIPLOMA,Mechanical Engineering,,30720,,,,,,,,,,,UNKNOWN,,,DRAFT
New Zealand Diploma in Early Childhood Education and Care,Toi Ohomai Institute of Technology,Rotorua,NZ,DEGREE,UG_DIPLOMA,Early Childhood Education,,27360,,,,,,,,,,,UNKNOWN,,,DRAFT
New Zealand Diploma in Enrolled Nursing,Toi Ohomai Institute of Technology,Rotorua,NZ,NURSING,UG_DIPLOMA,Nursing,,27540,,,,,,,,,,,UNKNOWN,,,DRAFT
New Zealand Diploma in Hospitality Management,Toi Ohomai Institute of Technology,Rotorua,NZ,DEGREE,UG_DIPLOMA,Hospitality Management,,26520,,,,,,,,,,,UNKNOWN,,,DRAFT
New Zealand Certificate in Cookery,Toi Ohomai Institute of Technology,Rotorua,NZ,DEGREE,VOCATIONAL,Culinary Arts,,27360,,,,,,,,,,,UNKNOWN,,,DRAFT
