program,university,city,country_code,pathway,level,study_area,duration_months,tuition_per_year,application_fee,initial_deposit,intakes,min_ielts,min_pte,min_oet_grade,min_german_level,max_backlogs,max_gap_years,moi_accepted,work_rights,work_rights_note,required_docs,status
MSc Data Science and Artificial Intelligence,Bournemouth University,Bournemouth,GB,DEGREE,PG,Data Science,12,20685,,,9|1,6.0,,,,,,,ELIGIBLE,"Graduate visa (gov.uk): 18 months if applying from 1 Jan 2027, after a UK degree completed on a Student visa",,DRAFT
MSc Computer Science,Bournemouth University,Poole,GB,DEGREE,PG,Computer Science,12,19688,,,9|1,6.0,,,,,,,ELIGIBLE,"Graduate visa (gov.uk): 18 months if applying from 1 Jan 2027, after a UK degree completed on a Student visa",,DRAFT
MSc Advanced Data Science,University of Derby,Derby,GB,DEGREE,PG,Data Science,12,17500,,,9|1,6.0,,,,,,,ELIGIBLE,"Graduate visa (gov.uk): 18 months if applying from 1 Jan 2027, after a UK degree completed on a Student visa",,DRAFT
MSc Information Technology,University of Derby,Derby,GB,DEGREE,PG,Computer Science,12,17500,,,9|1,6.0,,,,,,,ELIGIBLE,"Graduate visa (gov.uk): 18 months if applying from 1 Jan 2027, after a UK degree completed on a Student visa",,DRAFT
Computer Science MSc,University of Huddersfield,Huddersfield,GB,DEGREE,PG,Computer Science,12,18700,,,9|1,6.0,,,,,,,ELIGIBLE,"Graduate visa (gov.uk): 18 months if applying from 1 Jan 2027, after a UK degree completed on a Student visa",,DRAFT
Data Science and Applied Artificial Intelligence MSc,University of Huddersfield,Huddersfield,GB,DEGREE,PG,Data Science,12,18700,,,9|1,6.0,,,,,,,ELIGIBLE,"Graduate visa (gov.uk): 18 months if applying from 1 Jan 2027, after a UK degree completed on a Student visa",,DRAFT
MSc Data Science and Artificial Intelligence,Oxford Brookes University,Oxford,GB,DEGREE,PG,Data Science,12,19600,,,9,6.0,,,,,,,ELIGIBLE,"Graduate visa (gov.uk): 18 months if applying from 1 Jan 2027, after a UK degree completed on a Student visa",,DRAFT
MSc Data Science,Heriot-Watt University,Edinburgh,GB,DEGREE,PG,Data Science,12,26296,,,9|1,,,,,,,,ELIGIBLE,"Graduate visa (gov.uk): 18 months if applying from 1 Jan 2027, after a UK degree completed on a Student visa",,DRAFT
MSc Advanced Computer Science,University of South Wales,Pontypridd,GB,DEGREE,PG,Computer Science,,17900,,,9,6.0,,,,,,,ELIGIBLE,"Graduate visa (gov.uk): 18 months if applying from 1 Jan 2027, after a UK degree completed on a Student visa",,DRAFT
"MSc Cyber Security, Risk and Resilience",University of South Wales,Newport,GB,DEGREE,PG,Cybersecurity,,17900,,,9,6.0,,,,,,,ELIGIBLE,"Graduate visa (gov.uk): 18 months if applying from 1 Jan 2027, after a UK degree completed on a Student visa",,DRAFT
MSc Data Science,University of Aberdeen,Aberdeen,GB,DEGREE,PG,Data Science,12,26250,,,9|1,,,,,,,,ELIGIBLE,"Graduate visa (gov.uk): 18 months if applying from 1 Jan 2027, after a UK degree completed on a Student visa",,DRAFT
MSc Artificial Intelligence,University of Aberdeen,Aberdeen,GB,DEGREE,PG,Artificial Intelligence,12,26250,,,9|1,,,,,,,,ELIGIBLE,"Graduate visa (gov.uk): 18 months if applying from 1 Jan 2027, after a UK degree completed on a Student visa",,DRAFT
Business Analytics MSc,Queen Margaret University,Edinburgh,GB,DEGREE,PG,Business Analytics,,18455,,,,,,,,,,,ELIGIBLE,"Graduate visa (gov.uk): 18 months if applying from 1 Jan 2027, after a UK degree completed on a Student visa",,DRAFT
Public Health MSc,Queen Margaret University,Edinburgh,GB,DEGREE,PG,Public Health,,19860,,,,,,,,,,,ELIGIBLE,"Graduate visa (gov.uk): 18 months if applying from 1 Jan 2027, after a UK degree completed on a Student visa",,DRAFT
Global Health MSc,Queen Margaret University,Edinburgh,GB,DEGREE,PG,Public Health,,19860,,,,,,,,,,,ELIGIBLE,"Graduate visa (gov.uk): 18 months if applying from 1 Jan 2027, after a UK degree completed on a Student visa",,DRAFT
International Management and Leadership MSc,Queen Margaret University,Edinburgh,GB,DEGREE,PG,Management,,18455,,,,,,,,,,,ELIGIBLE,"Graduate visa (gov.uk): 18 months if applying from 1 Jan 2027, after a UK degree completed on a Student visa",,DRAFT
Accounting and Finance with CIMA MSc,Queen Margaret University,Edinburgh,GB,DEGREE,PG,Accounting and Finance,,19180,,,,,,,,,,,ELIGIBLE,"Graduate visa (gov.uk): 18 months if applying from 1 Jan 2027, after a UK degree completed on a Student visa",,DRAFT
International Marketing MSc,Queen Margaret University,Edinburgh,GB,DEGREE,PG,Management,,18655,,,,,,,,,,,ELIGIBLE,"Graduate visa (gov.uk): 18 months if applying from 1 Jan 2027, after a UK degree completed on a Student visa",,DRAFT
Strategic Communication and Public Relations MSc,Queen Margaret University,Edinburgh,GB,DEGREE,PG,Management,,18655,,,,,,,,,,,ELIGIBLE,"Graduate visa (gov.uk): 18 months if applying from 1 Jan 2027, after a UK degree completed on a Student visa",,DRAFT
Mental Health and Psychosocial Support MSc,Queen Margaret University,Edinburgh,GB,DEGREE,PG,Public Health,,19860,,,,,,,,,,,ELIGIBLE,"Graduate visa (gov.uk): 18 months if applying from 1 Jan 2027, after a UK degree completed on a Student visa",,DRAFT
Global Health (Health Systems) MSc,Queen Margaret University,Edinburgh,GB,DEGREE,PG,Public Health,,19860,,,,,,,,,,,ELIGIBLE,"Graduate visa (gov.uk): 18 months if applying from 1 Jan 2027, after a UK degree completed on a Student visa",,DRAFT
MSc Business Analytics,University of Stirling,Stirling,GB,DEGREE,PG,Business Analytics,12,,,,9|1,6.0,,,,,,,ELIGIBLE,"Graduate visa (gov.uk): 18 months if applying from 1 Jan 2027, after a UK degree completed on a Student visa",,DRAFT
MSc Data Science for Business,University of Stirling,Stirling,GB,DEGREE,PG,Data Science,12,24300,,,9|1,6.0,,,,,,,ELIGIBLE,"Graduate visa (gov.uk): 18 months if applying from 1 Jan 2027, after a UK degree completed on a Student visa",,DRAFT
MSc Data Science,Bath Spa University,Bath,GB,DEGREE,PG,Data Science,12,18755,,,9,,,,,,,,ELIGIBLE,"Graduate visa (gov.uk): 18 months if applying from 1 Jan 2027, after a UK degree completed on a Student visa",,DRAFT
MSc Computer Science (Conversion),Bath Spa University,Bath,GB,DEGREE,PG,Computer Science,12,18755,,,,,,,,,,,ELIGIBLE,"Graduate visa (gov.uk): 18 months if applying from 1 Jan 2027, after a UK degree completed on a Student visa",,DRAFT
MA Business and Management,Bath Spa University,Bath,GB,DEGREE,PG,Management,12,17485,,,2|9,6.0,,,,,,,ELIGIBLE,"Graduate visa (gov.uk): 18 months if applying from 1 Jan 2027, after a UK degree completed on a Student visa",,DRAFT
MSc Ethical Hacking and Cybersecurity,Abertay University,Dundee,GB,DEGREE,PG,Cybersecurity,12,19950,,,9,,,,,,,,ELIGIBLE,"Graduate visa (gov.uk): 18 months if applying from 1 Jan 2027, after a UK degree completed on a Student visa",,DRAFT
Cyber Security MSc,University of Gloucestershire,Cheltenham,GB,DEGREE,PG,Cybersecurity,12,19055,,,9,6.0,,,,,,,ELIGIBLE,"Graduate visa (gov.uk): 18 months if applying from 1 Jan 2027, after a UK degree completed on a Student visa",,DRAFT
