program,university,city,country_code,pathway,level,study_area,duration_months,tuition_per_year,application_fee,initial_deposit,intakes,min_ielts,min_pte,min_oet_grade,min_german_level,max_backlogs,max_gap_years,moi_accepted,work_rights,work_rights_note,required_docs,status
MS in Computer Science,The University of Texas at Arlington,Arlington,US,DEGREE,PG,Computer Science,,,,,1|5|8,6.5,,,,,,,UNKNOWN,,DEGREE_MARKSHEETS|CREDENTIAL_EVALUATION|ENGLISH_TEST,DRAFT
MS in Data Science,The University of Texas at Arlington,Arlington,US,DEGREE,PG,Data Science,,,,,1|5|8,6.5,,,,,,,UNKNOWN,,DEGREE_MARKSHEETS|CREDENTIAL_EVALUATION|ENGLISH_TEST,DRAFT
MS in Electrical Engineering,The University of Texas at Arlington,Arlington,US,DEGREE,PG,Electrical Engineering,,,,,1|5|8,6.5,,,,,,,UNKNOWN,,DEGREE_MARKSHEETS|CREDENTIAL_EVALUATION|ENGLISH_TEST,DRAFT
MS in Industrial Engineering,The University of Texas at Arlington,Arlington,US,DEGREE,PG,Industrial Engineering,,,,,1|5|8,6.5,,,,,,,UNKNOWN,,DEGREE_MARKSHEETS|CREDENTIAL_EVALUATION|ENGLISH_TEST,DRAFT
MS in Civil Engineering,The University of Texas at Arlington,Arlington,US,DEGREE,PG,Civil Engineering,,,,,1|5|8,6.5,,,,,,,UNKNOWN,,DEGREE_MARKSHEETS|CREDENTIAL_EVALUATION|ENGLISH_TEST,DRAFT
MS in Computer Science,New Jersey Institute of Technology,Newark,US,DEGREE,PG,Computer Science,,25956,,,,6.5,57,,,,,,UNKNOWN,,ENGLISH_TEST|LOR,DRAFT
MS in Data Science,New Jersey Institute of Technology,Newark,US,DEGREE,PG,Data Science,,25956,,,,6.5,57,,,,,,UNKNOWN,,ENGLISH_TEST|LOR,DRAFT
MS in Information Systems,New Jersey Institute of Technology,Newark,US,DEGREE,PG,Information Systems,,25956,,,,6.5,57,,,,,,UNKNOWN,,ENGLISH_TEST|LOR,DRAFT
MS in Cyber Security and Privacy,New Jersey Institute of Technology,Newark,US,DEGREE,PG,Cybersecurity,,25956,,,,6.5,57,,,,,,UNKNOWN,,ENGLISH_TEST|LOR,DRAFT
MS in Artificial Intelligence,New Jersey Institute of Technology,Newark,US,DEGREE,PG,Artificial Intelligence,,25956,,,,6.5,57,,,,,,UNKNOWN,,ENGLISH_TEST|LOR,DRAFT
MS in Software Engineering,New Jersey Institute of Technology,Newark,US,DEGREE,PG,Software Engineering,,25956,,,,6.5,57,,,,,,UNKNOWN,,ENGLISH_TEST|LOR,DRAFT
MS in Computer Science,University of North Texas,Denton,US,DEGREE,PG,Computer Science,,,,,,6.0,53,,,,,,UNKNOWN,,DEGREE_MARKSHEETS|ENGLISH_TEST,DRAFT
MS in Artificial Intelligence,University of North Texas,Denton,US,DEGREE,PG,Artificial Intelligence,,,,,,6.0,53,,,,,,UNKNOWN,,DEGREE_MARKSHEETS|ENGLISH_TEST,DRAFT
MS in Cybersecurity,University of North Texas,Denton,US,DEGREE,PG,Cybersecurity,,,,,,6.0,53,,,,,,UNKNOWN,,DEGREE_MARKSHEETS|ENGLISH_TEST,DRAFT
MS in Data Engineering,University of North Texas,Denton,US,DEGREE,PG,Data Science,,,,,,6.0,53,,,,,,UNKNOWN,,DEGREE_MARKSHEETS|ENGLISH_TEST,DRAFT
MS in Electrical Engineering,University of North Texas,Denton,US,DEGREE,PG,Electrical Engineering,,,,,,6.0,53,,,,,,UNKNOWN,,DEGREE_MARKSHEETS|ENGLISH_TEST,DRAFT
MS in Computer Science,DePaul University,Chicago,US,DEGREE,PG,Computer Science,,,75,,,,,,,,,,ELIGIBLE,On DePaul CDM's own STEM-designated majors list,DEGREE_MARKSHEETS|CREDENTIAL_EVALUATION|ENGLISH_TEST,DRAFT
MS in Data Science,DePaul University,Chicago,US,DEGREE,PG,Data Science,,,75,,,,,,,,,,ELIGIBLE,On DePaul CDM's own STEM-designated majors list,DEGREE_MARKSHEETS|CREDENTIAL_EVALUATION|ENGLISH_TEST,DRAFT
MS in Artificial Intelligence,DePaul University,Chicago,US,DEGREE,PG,Artificial Intelligence,,,75,,,,,,,,,,ELIGIBLE,On DePaul CDM's own STEM-designated majors list,DEGREE_MARKSHEETS|CREDENTIAL_EVALUATION|ENGLISH_TEST,DRAFT
MS in Cybersecurity,DePaul University,Chicago,US,DEGREE,PG,Cybersecurity,,,75,,,,,,,,,,ELIGIBLE,On DePaul CDM's own STEM-designated majors list,DEGREE_MARKSHEETS|CREDENTIAL_EVALUATION|ENGLISH_TEST,DRAFT
MS in Information Systems,DePaul University,Chicago,US,DEGREE,PG,Information Systems,,,75,,,,,,,,,,ELIGIBLE,On DePaul CDM's own STEM-designated majors list,DEGREE_MARKSHEETS|CREDENTIAL_EVALUATION|ENGLISH_TEST,DRAFT
MS in Computer Science,Kent State University,Kent,US,DEGREE,PG,Computer Science,,,,,,,,,,,,false,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|DEGREE_CERTIFICATE|ENGLISH_TEST|FINANCIAL_PROOF,DRAFT
MS in Data Science,Kent State University,Kent,US,DEGREE,PG,Data Science,,,,,,,,,,,,false,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|DEGREE_CERTIFICATE|ENGLISH_TEST|FINANCIAL_PROOF,DRAFT
MS in Business Analytics,Kent State University,Kent,US,DEGREE,PG,Business Analytics,,,,,,,,,,,,false,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|DEGREE_CERTIFICATE|ENGLISH_TEST|FINANCIAL_PROOF,DRAFT
Master of Business Administration,Kent State University,Kent,US,DEGREE,PG,Business Administration,,,,,,,,,,,,false,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|DEGREE_CERTIFICATE|ENGLISH_TEST|FINANCIAL_PROOF,DRAFT
MS in Nursing,Kent State University,Kent,US,DEGREE,PG,Nursing,,,,,,,,,,,,false,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|DEGREE_CERTIFICATE|ENGLISH_TEST|FINANCIAL_PROOF,DRAFT
MS in Computer Science,Binghamton University SUNY,Binghamton,US,DEGREE,PG,Computer Science,,27130,,,,6.5,53,,,,,,UNKNOWN,,PASSPORT|FINANCIAL_PROOF|ENGLISH_TEST,DRAFT
MS in Data Analytics,Binghamton University SUNY,Binghamton,US,DEGREE,PG,Data Science,,27130,,,,6.5,53,,,,,,UNKNOWN,,PASSPORT|FINANCIAL_PROOF|ENGLISH_TEST,DRAFT
MS in Information Systems,Binghamton University SUNY,Binghamton,US,DEGREE,PG,Information Systems,,27130,,,,6.5,53,,,,,,UNKNOWN,,PASSPORT|FINANCIAL_PROOF|ENGLISH_TEST,DRAFT
MS in Electrical and Computer Engineering,Binghamton University SUNY,Binghamton,US,DEGREE,PG,Electrical Engineering,,27130,,,,6.5,53,,,,,,UNKNOWN,,PASSPORT|FINANCIAL_PROOF|ENGLISH_TEST,DRAFT
MS in Mechanical Engineering,Binghamton University SUNY,Binghamton,US,DEGREE,PG,Mechanical Engineering,,27130,,,,6.5,53,,,,,,UNKNOWN,,PASSPORT|FINANCIAL_PROOF|ENGLISH_TEST,DRAFT
MS in Industrial and Systems Engineering,Binghamton University SUNY,Binghamton,US,DEGREE,PG,Industrial Engineering,,27130,,,,6.5,53,,,,,,UNKNOWN,,PASSPORT|FINANCIAL_PROOF|ENGLISH_TEST,DRAFT
MS in Computer Science,Stony Brook University,Stony Brook,US,DEGREE,PG,Computer Science,,,,,,,,,,,,,UNKNOWN,,,DRAFT
MS in Data Science,Stony Brook University,Stony Brook,US,DEGREE,PG,Data Science,,,,,,,,,,,,,UNKNOWN,,,DRAFT
MS in Electrical Engineering,Stony Brook University,Stony Brook,US,DEGREE,PG,Electrical Engineering,,,,,,,,,,,,,UNKNOWN,,,DRAFT
